"","Tissue","Year","Farm","Seed_source","Disinfection","Inoculation","year_farm_section_block","Tissue.Year","Tissue.Farm","Tissue.Seed_source","Tissue.Disinfection","Tissue.Inoculation","Year.Seed_source","Year.Disinfection","Farm.Disinfection","Farm.Inoculation","Seed_source.Disinfection","Seed_source.Inoculation","Disinfection.Inoculation","Residuals","Total","Percent_Explained"
"F.full","8.46884629932677","3.49696142417147","2.15479969459601","0.445235179436748",0.27541299529528,"",10.5071325707175,"3.6018896444152","1.68913991709406","0.464308480956049","0.33677485013984","","","0.182060150716215","0.600728695578663","","0.784592500891087","","",38.8258087645326,71.8336911678675,45.9504194573533
"F.seeds","","2.52155745893097","2.44192204844096","0.353692609854254",0.25743747540796,"",5.92244380624567,"","","","","","","0.192154660054596","0.582625898741499","","0.935406006980813","","",16.7308397997532,29.9380797644099,44.115187308564
"F.crowns","","4.67923673096443","1.97272781791837","0.530986417686969",0.35990625973226,"",9.76610492415402,"","","","","","","0.211336239171981","0.605798800933744","","0.537510486390122","","",14.7631574271789,33.4267651041308,55.8343220434618
"F13.full","5.21589987972953","","","0.169392776988417",0.153194743815502,"",1.03170875105021,"","","0.189992834513201","0.186844380440983","","","","","","0.380352035937178","","",8.43993258869841,15.7673179911734,46.471983418974
"F13.seeds","","","","0.134152365818629",0.166775323098224,"",0.963635251451416,"","","","","","","","","","0.621444711846924","","",3.94160877113772,5.82761642335291,32.3632771137343
"F13.crowns","","","","0.219772615831363",0.176546498620765,"",1.05817347848798,"","","","","","","","","","0.173212595282992","","",3.0960964998679,4.723801688091,34.4575258594501
"F13.14.osu.full","5.19402493251913","2.98421713111329","","0.444413155978317",0.276124004456886,"",3.75919817896138,"3.49794783873116","","0.464690889957815","0.265560323648739","","","0.207115353515764","","","0.782430034689565","","",26.5812997854158,44.4570216289879,40.2089955390001
"F13.14.osu.seeds","","2.76560589773187","","0.353692609854253",0.293125202138082,"",3.56288416862792,"","","","","","","0.225446158978923","","","0.935406006980813","","",10.7829100648932,18.9190701092051,43.0050737026087
"F13.14.osu.crowns","","3.69511156900246","","0.530986417686969",0.248316454546502,"",4.17048912349126,"","","","","","","0.22661913977665","","","0.537510486390122","","",10.9348933963697,20.3439265872637,46.249838498653
"F14.full","6.95692543611796","","2.17147335450847","",0.297620660703574,"0.536174003656972",9.35108537556216,"","1.69114450684794","","0.362311807512359","0.609015340613734","","","0.594354168805459","1.01372953234243","","","0.256571356265074",28.7291524603832,52.5695580033194,45.3502111268099
"F14.seeds","","","2.44192204844096","",0.281001624749614,"0.83478180369889",4.84147185843278,"","","","","","","","0.56412895724527","1.34296499758883","","","0.228196262598553",11.0544383293711,21.588905882126,48.7957454179123
"F14.crowns","","","1.97272781791837","",0.376126249564053,"0.324372664634378",8.67955937609019,"","","","","","","","0.612905373078902","0.677464226777312","","","0.342463138826494",11.0381078381857,24.0237266850754,54.0533074535723
"F14.osu.full","3.45226224453978","","","0.273580407818869",0.319178560066618,"0.815606196764707",2.74283068164466,"","","0.288586973415555","0.311956757441184","1.07695701784019","","","","","0.435875390055299","0.298313016433386","0.317000037949791",15.3709760788602,25.7031233628303,40.1980223886391
"F14.osu.seeds","","","","0.219540244035625",0.345548835671673,"1.543056662576",2.42309718004604,"","","","","","","","","","0.313832821983699","0.309851485745487","0.349534135855095",4.82138642220669,10.3258477881203,53.3075973892081
"F14.osu.crowns","","","","0.311213801855606",0.283416359340936,"0.373419278761112",3.13909949008815,"","","","","","","","","","0.366965717371484","0.358078054137255","0.382319879359641",6.71050074925602,11.9250133301702,43.7275199325899
"F14.as.full","3.03360711031754","","","",0.261330607270368,"0.303683255669222",3.84253697145856,"","","","0.325556968713818","0.31178681800169","","","","","","","0.296093109956425",4.96943966896912,13.3440345103567,62.7590915992298
"F14.as.seeds","","","","",0.234247376068494,"0.415438287300891",1.12777647065017,"","","","","","","","","","","","0.222724028712868",2.74606375099938,4.7462499137318,42.1424534967176
"F14.as.crowns","","","","",0.345967849506707,"0.222119582418296",3.40023904328453,"","","","","","","","","","","","0.402707015141873",1.193143995956,5.56417748630741,78.5566869695989
"F14.pc.full","2.65026357037662","","","",0.299834470835319,"0.334657160183395",2.19751314254651,"","","","0.318985844324033","0.286258416705626","","","","","","","0.287577785021105",4.91186736289637,11.286957752889,56.4819194823411
"F14.pc.seeds","","","","",0.282602533769099,"0.250744440016968",1.22857993021704,"","","","","","","","","","","","0.187698281230346",2.12526094659949,4.07488613183294,47.844899763039
"F14.pc.crowns","","","","",0.334335075279952,"0.371154829308208",2.23349146383757,"","","","","","","","","","","","0.326807180151547",1.29601950210214,4.56180805067941,71.589784407761
